Client Start,Client End,Delta
4987983,147400154,142412171
147404586,288978497,141573911
288982758,429563717,140580959
429566936,570622717,141055781
570627131,712398508,141771377
712402747,854023285,141620538
854027546,995669912,141642366
995673952,1137344547,141670595
1137347969,1282553157,145205188
1282557919,1424333597,141775678
1424338139,1566454640,142116501
1566459011,1709192197,142733186
1709196784,1850844354,141647570
1850847975,1992532855,141684880
1992537278,2134062709,141525431
2134067465,2273755856,139688391
2273759377,2414373150,140613773
2414376863,2555631348,141254485
2555635430,2695670037,140034607
2695674632,2837998764,142324132
2838003359,2978710005,140706646
2978714377,3120775720,142061343
3120780035,3262356239,141576204
3262359787,3406430446,144070659
3406435391,3547440428,141005037
3547445203,3689869210,142424007
3689873771,3830431395,140557624
3830435684,3971322694,140887010
3971327438,4112230371,140902933
4112234924,4252431061,140196137
4252435339,4393007778,140572439
4393011279,4533283755,140272476
4533287250,4673608542,140321292
4673613151,4814372761,140759610
4814377521,4955839274,141461753
4955843860,5094981253,139137393
5094986064,5234450464,139464400
5234454999,5373533291,139078292
5373536959,5516789255,143252296
5516792734,5656999755,140207021
5657004762,5801319784,144315022
5801323385,5941610006,140286621
5941614797,6082839331,141224534
6082842864,6222358595,139515731
6222361625,6362564355,140202730
6362568271,6502353738,139785467
6502357287,6642240975,139883688
6642245749,6782372680,140126931
6782377257,6922193061,139815804
6922196513,7062412912,140216399
7062416416,7202531808,140115392
7202536516,7342492568,139956052
7342496486,7482081177,139584691
7482085967,7624292895,142206928
7624298014,7763713100,139415086
7763717401,7906140104,142422703
7906143917,8045605382,139461465
8045608844,8185821100,140212256
8185825687,8325454004,139628317
8325455809,8465722454,140266645
8465725972,8606358561,140632589
8606363140,8746500093,140136953
8746505908,8886144591,139638683
8886147157,9025504301,139357144
9025507818,9164873229,139365411
9164876665,9304424306,139547641
9304427832,9444251450,139823618
9444255177,9583431833,139176656
9583436416,9725438535,142002119
9725443133,9865813047,140369914
9865816592,10008579835,142763243
10008584696,10147752220,139167524
10147757709,10287683961,139926252
10287688906,10427072512,139383606
10427076250,10566442505,139366255
10566447612,10706521688,140074076
10706526798,10847823654,141296856
10847828476,10987713382,139884906
10987717226,11128416637,140699411
11128421575,11268472626,140051051
11268477563,11408583439,140105876
11408588585,11548784656,140196071
11548788497,11688257952,139469455
11688263063,11830479992,142216929
11830485084,11970381852,139896768
11970386866,12110731749,140344883
12110736703,12250402084,139665381
12250407711,12390241875,139834164
12390245669,12530270030,140024361
12530275765,12670635150,140359385
12670640102,12810650149,140010047
12810654259,12950170421,139516162
12950175752,13088925207,138749455
13088930315,13228984351,140054036
13228989305,13368513642,139524337
13368518273,13508508115,139989842
13508513744,13651783273,143269529
13651788293,13790973251,139184958
13790978191,13933171547,142193356
13933176456,14071634408,138457952
